pl_name,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,st_spectype,st_teff,st_rad,st_mass,discoverymethod,disc_year,disc_facility,sy_dist,pl_type
HD 457 b,HD 457,11.9,1.07,8445.3364308,26.572,0.565,,,15.369,20324.58153,,6114.04,1.28194,1.15,Radial Velocity,2022.0,Multiple Observatories,55.0375,Gas Giant
HD 46375 b,HD 46375,10.0,0.894,71.8,0.226,0.063,,,0.0398,3.023573,K1 IV-V,5285.0,0.914196,0.92,Radial Velocity,2000.0,W. M. Keck Observatory,29.5529,Gas Giant
HD 47186 b,HD 47186,5.02,0.448,22.2481,0.07,0.04,,,0.05,4.0845,G6 V,5657.0,1.08,0.96,Radial Velocity,2008.0,La Silla Observatory,37.4574,Neptunian
HD 47186 c,HD 47186,13.0,1.16,111.42,0.35061,0.249,,,2.395,1353.6,G6 V,5657.0,1.08,0.96,Radial Velocity,2008.0,La Silla Observatory,37.4574,Gas Giant
HD 4732 b,HD 4732,13.4,1.19,631.2072163,1.986,0.266,,,1.129,371.74,K0 IV,4898.0,5.03,1.39,Radial Velocity,2012.0,Multiple Observatories,54.7841,Gas Giant
HD 4732 c,HD 4732,13.1,1.17,1069.49258955,3.365,0.187,,,4.725,3184.2,K0 IV,4898.0,5.03,1.39,Radial Velocity,2012.0,Multiple Observatories,54.7841,Gas Giant
HD 47366 b,HD 47366,13.4,1.19,661.71874337,2.082,0.071,,,1.207,360.08,K1 III,4866.0,7.3,1.81,Radial Velocity,2016.0,Okayama Astrophysical Observatory,84.3552,Gas Giant
HD 47366 c,HD 47366,13.5,1.21,483.73483545,1.522,0.161,,,1.84,677.53,K1 III,4866.0,7.3,1.81,Radial Velocity,2016.0,Okayama Astrophysical Observatory,84.3552,Gas Giant
HD 47536 b,HD 47536,12.6,1.13,2330.0,7.32,0.2,,,1.93,712.13,K1 III,4380.0,23.47,2.1,Radial Velocity,2002.0,La Silla Observatory,122.536,Gas Giant
HD 4760 b,HD 4760,12.3,1.1,4417.837,13.9,0.23,,,1.14,434.0,K2,4076.0,42.4,1.05,Radial Velocity,2021.0,Multiple Observatories,537.873,Gas Giant
