pl_name,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,st_spectype,st_teff,st_rad,st_mass,discoverymethod,disc_year,disc_facility,sy_dist,pl_type
Kepler-1487 c,Kepler-1487,7.97,0.711037,48.7,0.153,0.0,991.0,227.68,0.2588,35.8007112,,5745.0,3.955,1.801,Transit,2023.0,Kepler,1014.62,Gas Giant
Kepler-1488 b,Kepler-1488,1.86,0.16593809,4.12,0.013,0.0,650.0,73.335,0.24153,39.8189932,,5820.0,1.31,1.05,Transit,2016.0,Kepler,905.825,Super-Earth
Kepler-1488 c,Kepler-1488,1.65156749,0.14734324,3.37,0.0106,0.0,1212.0,760.6,0.06959,6.158269882,,5710.0,1.524,1.003,Transit,2021.0,Kepler,905.825,Super-Earth
Kepler-1489 b,Kepler-1489,1.77,0.15790882,3.78,0.0119,0.0,400.0,11.893,0.3679,82.294751,G,5655.0,0.9,0.93,Transit,2016.0,Kepler,1283.05,Super-Earth
Kepler-149 b,Kepler-149,4.21,0.376,16.5,0.0519,0.0,540.0,23.64,0.184,29.198943,,5381.0,0.953,1.013,Transit,2014.0,Kepler,571.034,Neptunian
Kepler-149 c,Kepler-149,1.61,0.144,3.22,0.0101,0.0,436.0,10.084,0.281,55.328328,,5381.0,0.953,1.013,Transit,2014.0,Kepler,571.034,Super-Earth
Kepler-149 d,Kepler-149,3.96,0.353,14.9,0.0467,0.0,306.0,2.446,0.571,160.018032,,5381.0,0.953,1.013,Transit,2014.0,Kepler,571.034,Neptunian
Kepler-1490 b,Kepler-1490,3.04,0.27121063,9.48,0.0298,0.0,348.0,3.788,0.3729,92.4362973,,5515.0,0.87,0.9,Transit,2016.0,Kepler,862.92,Neptunian
Kepler-1491 b,Kepler-1491,1.51,0.13471318,2.89,0.00909,0.0,821.0,138.108,0.127,16.5861762,,5728.0,0.99,1.0,Transit,2016.0,Kepler,2065.59,Super-Earth
Kepler-1491 c,Kepler-1491,2.44,0.21768259,6.53,0.0205,0.0,530.0,18.66,0.3045,61.569765,,5626.0,1.389,0.991,Transit,2023.0,Kepler,2065.59,Super-Earth
Kepler-1492 b,Kepler-1492,1.49,0.1329289,2.83,0.00889,0.0,801.0,11.523,0.1262,16.75255007,,4712.0,0.72,0.77,Transit,2016.0,Kepler,331.553,Terrestrial
Kepler-1493 b,Kepler-1493,1.41,0.12579177,2.57,0.00809,0.0,874.0,137.91,0.1197,15.0217983,,5863.0,1.29,1.06,Transit,2016.0,Kepler,555.051,Terrestrial
Kepler-1494 b,Kepler-1494,3.07,0.27388706,9.64,0.0303,0.0,415.0,9.113,0.3982,91.080482,,5659.0,0.94,0.96,Transit,2016.0,Kepler,1285.48,Neptunian
Kepler-1495 b,Kepler-1495,2.94,0.26228923,8.96,0.0282,0.0,443.0,9.1,0.3677,85.273256,,5831.0,1.04,1.03,Transit,2016.0,Kepler,1355.54,Neptunian
Kepler-1496 b,Kepler-1496,2.22,0.19805513,5.56,0.0175,0.0,535.0,18.383,0.3211,64.6588017,,6182.0,1.27,1.18,Transit,2016.0,Kepler,1307.66,Super-Earth
Kepler-1497 b,Kepler-1497,1.66,0.14809528,3.39,0.0107,0.0,924.0,172.38,0.0817,8.74199772,,5675.0,0.95,0.96,Transit,2016.0,Kepler,1122.0,Super-Earth
Kepler-1498 b,Kepler-1498,1.33,0.11865465,2.33,0.00733,0.0,564.0,9.86,0.2528,48.051405,,5256.0,0.81,0.86,Transit,2016.0,Kepler,740.0,Terrestrial
Kepler-1499 b,Kepler-1499,1.19,0.10616469,1.81,0.0057,0.0,409.0,7.371,0.23225,44.2008,,5097.0,0.78,0.82,Transit,2016.0,Kepler,309.869,Terrestrial
Kepler-15 b,Kepler-15,10.76,0.96,209.76,0.66,0.06,1251.0,430.677,0.05714,4.942782,,5515.0,0.992,1.018,Transit,2011.0,Kepler,739.412,Gas Giant
Kepler-150 b,Kepler-150,1.25,0.112,2.1,0.0066,0.0,1131.0,367.262,0.044,3.428054,,5560.0,0.939,0.956,Transit,2014.0,Kepler,891.092,Terrestrial
Kepler-150 c,Kepler-150,3.69,0.329,13.2,0.0415,0.0,876.0,132.091,0.073,7.381998,,5560.0,0.939,0.956,Transit,2014.0,Kepler,891.092,Neptunian
Kepler-150 d,Kepler-150,2.79,0.249,8.2,0.0258,0.0,734.0,65.142,0.104,12.56093,,5560.0,0.939,0.956,Transit,2014.0,Kepler,891.092,Neptunian
Kepler-150 e,Kepler-150,3.12,0.278,9.91,0.0312,0.0,544.0,19.671,0.189,30.826557,,5560.0,0.939,0.956,Transit,2014.0,Kepler,891.092,Neptunian
Kepler-150 f,Kepler-150,3.64,0.32473905,12.9,0.0405,,,,1.24,637.2093,,5528.0,0.905339,0.97,Transit,2017.0,Kepler,891.092,Neptunian
Kepler-1500 b,Kepler-1500,1.2,0.10705683,1.87,0.00588,0.0,928.0,131.818,0.1236,15.0330105,,5845.0,1.0,1.0,Transit,2016.0,Kepler,1217.82,Terrestrial
Kepler-1501 b,Kepler-1501,1.56,0.13917388,3.05,0.00961,0.0,787.0,100.001,0.11592,14.5564533,,6229.0,1.3,1.2,Transit,2016.0,Kepler,749.06,Super-Earth
Kepler-1502 b,Kepler-1502,3.18,0.2837006,10.2,0.0322,0.0,608.0,77.324,0.2482,41.7083629,,6666.0,1.72,1.44,Transit,2016.0,Kepler,1514.02,Neptunian
Kepler-1503 b,Kepler-1503,2.27,0.20251584,5.77,0.0182,0.0,321.0,5.636,0.3771,96.16987,,5069.0,0.74,0.77,Transit,2016.0,Kepler,1225.57,Super-Earth
Kepler-1504 b,Kepler-1504,2.13,0.19002587,5.18,0.0163,0.0,485.0,25.17,0.3704,82.304003,,5393.0,0.81,0.85,Transit,2016.0,Kepler,2435.94,Super-Earth
Kepler-1505 b,Kepler-1505,0.93,0.08296904,0.749,0.00236,0.0,525.0,36.121,0.18298,30.8609366,,5686.0,0.86,0.93,Transit,2016.0,Kepler,495.148,Terrestrial
Kepler-1506 b,Kepler-1506,1.32,0.11776251,2.3,0.00724,0.0,783.0,235.807,0.1168,14.0329154,,5676.0,0.93,0.95,Transit,2016.0,Kepler,2366.02,Terrestrial
Kepler-1507 b,Kepler-1507,0.84,0.07493978,0.52,0.00164,0.0,630.0,30.476,0.11946,16.0506213,,5410.0,0.85,0.89,Transit,2016.0,Kepler,320.478,Terrestrial
Kepler-1508 b,Kepler-1508,1.33,0.11865465,2.33,0.00733,0.0,967.0,116.145,0.1629,20.7056504,,6158.0,1.22,1.14,Transit,2016.0,Kepler,1260.28,Terrestrial
Kepler-1509 b,Kepler-1509,1.85,0.16504595,4.08,0.0128,0.0,667.0,83.081,0.1707,25.4338197,,5780.0,0.99,1.0,Transit,2016.0,Kepler,2002.96,Super-Earth
Kepler-151 b,Kepler-151,3.06,0.273,9.59,0.0302,0.0,639.0,40.728,0.116,15.228958,,5460.0,0.83,0.87,Transit,2014.0,Kepler,649.919,Neptunian
Kepler-151 c,Kepler-151,2.09,0.186,5.02,0.0158,0.0,544.0,21.407,0.16,24.674612,,5460.0,0.83,0.87,Transit,2014.0,Kepler,649.919,Super-Earth
Kepler-1510 b,Kepler-1510,3.36,0.29975912,11.2,0.0354,0.0,537.0,14.036,0.4089,84.703921,,6200.0,1.28,1.19,Transit,2016.0,Kepler,1696.25,Neptunian
Kepler-1511 b,Kepler-1511,1.68,0.14987956,3.46,0.0109,0.0,903.0,228.219,0.1753,23.2382792,,6064.0,1.29,1.17,Transit,2016.0,Kepler,1475.6,Super-Earth
Kepler-1512 b,Kepler-1512,1.18,0.10527255,1.76,0.00553,0.0,322.0,1.6,0.13693,20.35972599,,4372.0,0.67,0.73,Transit,2016.0,Kepler,162.0,Terrestrial
Kepler-1513 b,Kepler-1513,8.594,0.76670665,48.30991786,0.152,0.306,346.0,2.23,0.56971,160.8842,G V,5491.0,0.95,0.943,Transit,2016.0,Kepler,349.247,Gas Giant
Kepler-1514 b,Kepler-1514,12.419572,1.108,1678.1424,5.28,0.401,387.9,3.23,0.753,217.83184,,6145.0,1.289,1.196,Transit,2016.0,Kepler,397.292,Gas Giant
Kepler-1514 c,Kepler-1514,1.1758241,0.1049,1.74,0.00546,0.32,1066.0,193.0,0.0997,10.514181,,6145.0,1.289,1.196,Transit,2020.0,Kepler,397.292,Terrestrial
Kepler-1515 b,Kepler-1515,9.55,0.85199393,66.2,0.208,0.0,380.0,6.017,0.75235,214.3114164,,6511.0,1.41,1.3,Transit,2016.0,Kepler,539.321,Gas Giant
Kepler-1516 b,Kepler-1516,1.75,0.15612454,3.71,0.0117,0.0,967.0,615.253,0.0718,7.25931979,,5904.0,1.07,1.04,Transit,2016.0,Kepler,1358.95,Super-Earth
Kepler-1517 b,Kepler-1517,9.76,0.87072888,68.7,0.216,0.0,2336.0,1526.983,0.078,5.546083665,,7010.0,1.95,1.58,Transit,2016.0,Kepler,847.299,Gas Giant
Kepler-1518 b,Kepler-1518,3.05,0.27210277,9.53,0.03,0.0,1351.0,1079.458,0.0593,5.11177904,,6846.0,1.88,1.54,Transit,2016.0,Kepler,903.51,Neptunian
Kepler-1518 c,Kepler-1518,2.9,0.25872112,8.75,0.0275,0.0,1094.0,338.33,0.0905,9.6310258,,6432.0,1.345,1.06,Transit,2023.0,Kepler,903.51,Neptunian
Kepler-1519 b,Kepler-1519,7.06,0.62985101,39.6,0.125,0.0,342.0,3.944,0.7655,240.7989397,,5644.0,0.91,0.94,Transit,2016.0,Kepler,1441.63,Gas Giant
Kepler-152 b,Kepler-152,2.79,0.249,8.2,0.0258,0.0,551.0,21.084,0.124,18.207973,,5088.0,0.724,0.779,Transit,2014.0,Kepler,441.09,Neptunian
Kepler-152 c,Kepler-152,2.39,0.213,6.3,0.0198,0.0,326.0,2.57,0.356,88.255055,,5088.0,0.724,0.779,Transit,2014.0,Kepler,441.09,Super-Earth
Kepler-1520 b,Kepler-1520,5.77,0.51476492,28.1,0.0885,0.0,1437.0,1134.386,0.0129,0.653553572,,4677.0,0.71,0.76,Transit,2016.0,Kepler,607.917,Neptunian
Kepler-1521 b,Kepler-1521,2.5,0.22303506,6.8,0.0214,0.0,391.0,5.122,0.23476,47.14840805,,5042.0,0.76,0.81,Transit,2016.0,Kepler,206.983,Super-Earth
Kepler-1522 b,Kepler-1522,1.73,0.15434026,3.64,0.0115,0.0,1374.0,1513.457,0.0288,1.847889171,,5706.0,0.93,0.96,Transit,2016.0,Kepler,814.125,Super-Earth
Kepler-1523 b,Kepler-1523,1.58,0.14095816,3.12,0.00982,0.0,1676.0,2218.145,0.01867,0.93875077,,5708.0,0.96,0.97,Transit,2016.0,Kepler,865.596,Super-Earth
Kepler-1524 b,Kepler-1524,3.54,0.31581765,12.3,0.0386,0.0,438.0,8.443,0.3392,70.9674603,,6179.0,1.25,1.17,Transit,2016.0,Kepler,381.773,Neptunian
Kepler-1525 b,Kepler-1525,0.91,0.08118476,0.693,0.00218,0.0,1343.0,715.106,0.03557,2.416601183,,5748.0,1.04,1.07,Transit,2016.0,Kepler,382.989,Terrestrial
Kepler-1526 b,Kepler-1526,2.43,0.21679008,6.48,0.0204,0.0,787.0,99.097,0.0418,3.908632005,,4601.0,0.69,0.73,Transit,2016.0,Kepler,555.574,Super-Earth
Kepler-1527 b,Kepler-1527,4.77,0.4255509,20.4,0.0641,0.0,450.0,7.813,0.6276,160.129918,,6224.0,1.32,1.21,Transit,2016.0,Kepler,1842.13,Neptunian
Kepler-1528 b,Kepler-1528,1.46,0.13025248,2.73,0.00859,0.0,1549.0,1106.851,0.0296,1.791110205,,5857.0,1.03,1.03,Transit,2016.0,Kepler,817.534,Terrestrial
Kepler-1529 b,Kepler-1529,2.1,0.18734945,5.06,0.0159,0.0,817.0,115.765,0.0525,5.33905686,,5048.0,0.77,0.81,Transit,2016.0,Kepler,661.014,Super-Earth
Kepler-153 b,Kepler-153,2.92,0.261,8.85,0.0279,0.0,621.0,21.609,0.129,18.870227,,5404.0,0.892,0.756,Transit,2014.0,Kepler,459.368,Neptunian
Kepler-153 c,Kepler-153,2.53,0.226,6.94,0.0218,0.0,458.0,6.422,0.237,46.90232,,5404.0,0.892,0.756,Transit,2014.0,Kepler,459.368,Neptunian
Kepler-1530 b,Kepler-1530,1.64,0.146311,3.33,0.0105,0.0,1484.0,353.561,0.03553,2.5904434,,5477.0,0.88,0.92,Transit,2016.0,Kepler,489.876,Super-Earth
Kepler-1530 c,Kepler-1530,1.65,0.14720314,3.36,0.0106,0.0,1167.0,135.179,0.05744,5.3227406,,5477.0,0.88,0.92,Transit,2016.0,Kepler,489.876,Super-Earth
Kepler-1530 d,Kepler-1530,3.27870115,0.29250663,10.8,0.0339,0.0,972.0,69.2,0.08276,9.20761013,,5678.0,1.303,1.015,Transit,2021.0,Kepler,489.876,Neptunian
Kepler-1531 b,Kepler-1531,1.11,0.09902757,1.41,0.00444,0.0,2537.0,4457.2,0.02204,1.138543376,,6260.0,1.27,1.16,Transit,2016.0,Kepler,666.334,Terrestrial
Kepler-1532 b,Kepler-1532,1.35,0.12043893,2.39,0.00752,0.0,1681.0,1705.762,0.0206,1.093663559,,5559.0,0.88,0.91,Transit,2016.0,Kepler,798.246,Terrestrial
Kepler-1533 b,Kepler-1533,3.46,0.30868052,11.8,0.0372,0.0,330.0,4.786,0.93416,308.5471,,6431.0,1.51,1.31,Transit,2016.0,Kepler,966.801,Neptunian
Kepler-1534 b,Kepler-1534,1.89,0.16861451,4.23,0.0133,0.0,955.0,196.51,0.0599,5.71668872,,5442.0,0.86,0.9,Transit,2016.0,Kepler,1107.0,Super-Earth
Kepler-1535 b,Kepler-1535,2.55,0.22749576,7.04,0.0221,0.0,384.0,5.384,0.5329,138.9442,,6021.0,1.11,1.08,Transit,2016.0,Kepler,897.733,Neptunian
Kepler-1536 b,Kepler-1536,3.14,0.28013204,10.0,0.0315,0.0,166.0,0.193,0.8507,364.758031,,4434.0,0.67,0.71,Transit,2016.0,Kepler,387.248,Neptunian
Kepler-1537 b,Kepler-1537,1.18,0.10527255,1.76,0.00553,0.0,1800.0,713.168,0.0245,1.444453798,,5079.0,0.77,0.81,Transit,2016.0,Kepler,517.292,Terrestrial
Kepler-1538 b,Kepler-1538,2.82,0.25158355,8.35,0.0263,0.0,346.0,1.989,0.6095,175.138819,,5837.0,1.03,1.03,Transit,2016.0,Kepler,1125.3,Neptunian
Kepler-1539 b,Kepler-1539,2.7,0.24087787,7.75,0.0244,0.0,301.0,1.572,0.4765,133.3036741,,5176.0,0.8,0.84,Transit,2016.0,Kepler,748.326,Neptunian
Kepler-154 b,Kepler-154,2.26,0.202,5.73,0.018,0.0,561.0,28.11,0.198,33.040532,,5690.0,1.001,0.933,Transit,2014.0,Kepler,915.212,Super-Earth
Kepler-154 c,Kepler-154,2.95,0.263,9.01,0.0283,0.0,454.0,12.071,0.303,62.303276,,5690.0,1.001,0.933,Transit,2014.0,Kepler,915.212,Neptunian
Kepler-154 d,Kepler-154,3.84,0.34258185,14.1,0.0444,0.0,657.0,53.002,0.14354,20.54981883,,5769.0,0.98,0.98,Transit,2016.0,Kepler,915.212,Neptunian
Kepler-154 e,Kepler-154,1.5,0.13382104,2.86,0.00899,0.0,1140.0,480.405,0.04766,3.93276465,,5769.0,0.98,0.98,Transit,2016.0,Kepler,915.212,Super-Earth
Kepler-154 f,Kepler-154,1.5,0.13382104,2.86,0.00899,0.0,838.0,139.884,0.08832,9.91935684,,5769.0,0.98,0.98,Transit,2016.0,Kepler,915.212,Super-Earth
Kepler-1540 b,Kepler-1540,2.49,0.22214292,6.76,0.0213,0.0,266.0,0.849,0.4426,125.4131177,,4540.0,0.69,0.74,Transit,2016.0,Kepler,244.96,Super-Earth
Kepler-1541 b,Kepler-1541,1.16,0.10348827,1.65,0.00521,0.0,1048.0,75.56,0.07555,8.40691199,,5282.0,0.81,0.86,Transit,2016.0,Kepler,416.692,Terrestrial
Kepler-1542 b,Kepler-1542,0.76,0.06780266,0.363,0.00114,0.0,1160.0,518.437,0.04765,3.95116882,,5564.0,0.99,0.94,Transit,2016.0,Kepler,399.114,Terrestrial
Kepler-1542 c,Kepler-1542,0.65,0.05798912,0.208,0.000653,0.0,1287.0,786.082,0.0387,2.89223021,,5564.0,0.99,0.94,Transit,2016.0,Kepler,399.114,Terrestrial
Kepler-1542 d,Kepler-1542,0.87,0.0776162,0.59,0.00186,0.0,1010.0,297.806,0.0629,5.99273738,,5564.0,0.99,0.94,Transit,2016.0,Kepler,399.114,Terrestrial
Kepler-1542 e,Kepler-1542,0.76,0.06780266,0.363,0.00114,0.0,1065.0,369.999,0.05649,5.10115756,,5564.0,0.99,0.94,Transit,2016.0,Kepler,399.114,Terrestrial
Kepler-1543 b,Kepler-1543,2.71,0.24177001,7.8,0.0245,0.0,1774.0,375.651,0.0867,6.96710269,,6561.0,1.65,1.39,Transit,2016.0,Kepler,921.784,Neptunian
Kepler-1544 b,Kepler-1544,1.78,0.15880096,3.82,0.012,0.0,269.0,0.833,0.54465,168.811174,,4886.0,0.74,0.81,Transit,2016.0,Kepler,335.09,Super-Earth
Kepler-1545 b,Kepler-1545,2.7,0.24087787,7.75,0.0244,0.0,274.0,1.408,0.5442,163.692349,,5201.0,0.8,0.84,Transit,2016.0,Kepler,729.964,Neptunian
Kepler-1546 b,Kepler-1546,3.13,0.2792399,9.96,0.0313,0.0,671.0,36.302,0.1366,19.5974971,,5623.0,0.93,0.95,Transit,2016.0,Kepler,931.956,Neptunian
Kepler-1547 b,Kepler-1547,0.9,0.08029262,0.666,0.0021,0.0,3186.0,5760.944,0.01556,0.692979676,,6078.0,1.18,1.12,Transit,2016.0,Kepler,674.695,Terrestrial
Kepler-1548 b,Kepler-1548,2.64,0.23552502,7.46,0.0235,0.0,350.0,1.933,0.4679,124.828679,,5706.0,0.97,0.99,Transit,2016.0,Kepler,872.279,Neptunian
Kepler-1549 b,Kepler-1549,2.57,0.22928004,7.13,0.0224,0.0,286.0,1.184,0.6687,214.886545,,5324.0,0.84,0.88,Transit,2016.0,Kepler,803.052,Neptunian
Kepler-155 b,Kepler-155,2.09,0.186,5.02,0.0158,0.0,614.0,23.5,0.056,5.931194,M0 V,4508.0,0.62,0.635,Transit,2014.0,Kepler,293.499,Super-Earth
Kepler-155 c,Kepler-155,2.24,0.2,5.65,0.0178,0.0,286.0,1.28,0.242,52.661793,M0 V,4508.0,0.62,0.635,Transit,2014.0,Kepler,293.499,Super-Earth
Kepler-1550 b,Kepler-1550,3.02,0.26942635,9.38,0.0295,0.0,348.0,2.305,0.7681,225.582809,,5991.0,1.11,1.07,Transit,2016.0,Kepler,1179.01,Neptunian
Kepler-1551 b,Kepler-1551,2.66,0.23730931,7.56,0.0238,0.0,722.0,60.421,0.1772,24.4973698,,6136.0,1.22,1.14,Transit,2016.0,Kepler,1463.72,Neptunian
Kepler-1552 b,Kepler-1552,2.47,0.22035864,6.66,0.021,0.0,268.0,1.854,0.6011,184.771853,,5202.0,0.78,0.85,Transit,2016.0,Kepler,769.096,Super-Earth
Kepler-1553 b,Kepler-1553,1.15,0.10259613,1.6,0.00505,0.0,926.0,166.106,0.0481,4.24261881,,5288.0,0.81,0.85,Transit,2016.0,Kepler,692.594,Terrestrial
Kepler-1554 b,Kepler-1554,2.9,0.25872067,8.75,0.0275,0.0,288.0,1.014,0.59527,198.088774,,5297.0,0.81,0.84,Transit,2016.0,Kepler,946.847,Neptunian
Kepler-1555 b,Kepler-1555,1.61,0.14363458,3.22,0.0101,0.0,959.0,483.262,0.0805,8.10501635,,5866.0,1.06,1.04,Transit,2016.0,Kepler,2013.27,Super-Earth
Kepler-1556 b,Kepler-1556,1.96,0.17485949,4.5,0.0142,0.0,797.0,92.138,0.0829,8.82713457,,5608.0,0.95,0.97,Transit,2016.0,Kepler,944.54,Super-Earth
Kepler-1557 b,Kepler-1557,1.53,0.13649746,2.96,0.0093,0.0,1287.0,645.543,0.049,3.74032496,,6099.0,1.17,1.11,Transit,2016.0,Kepler,1380.16,Super-Earth
Kepler-1558 b,Kepler-1558,0.68,0.06066554,0.244,0.000768,0.0,1019.0,189.886,0.04278,3.50470358,,5101.0,0.79,0.83,Transit,2016.0,Kepler,325.737,Terrestrial
Kepler-1559 b,Kepler-1559,0.72,0.0642341,0.299,0.000942,0.0,1609.0,1620.063,0.01835,0.971915428,,5316.0,0.82,0.86,Transit,2016.0,Kepler,614.827,Terrestrial
Kepler-156 b,Kepler-156,2.3,0.205,5.9,0.0186,0.0,867.0,135.077,0.054,4.973456,,5094.0,0.807,0.864,Transit,2014.0,Kepler,443.483,Super-Earth
Kepler-156 c,Kepler-156,2.55,0.227,7.04,0.0221,0.0,588.0,28.642,0.117,15.906801,,5094.0,0.807,0.864,Transit,2014.0,Kepler,443.483,Neptunian
Kepler-1560 b,Kepler-1560,0.89,0.07940048,0.64,0.00201,0.0,1269.0,593.919,0.04175,3.03195744,,5815.0,1.02,1.02,Transit,2016.0,Kepler,502.497,Terrestrial
Kepler-1561 b,Kepler-1561,1.09,0.09724329,1.32,0.00416,0.0,1682.0,2364.807,0.0194,1.005207007,,5957.0,1.11,1.07,Transit,2016.0,Kepler,839.076,Terrestrial
Kepler-1562 b,Kepler-1562,3.55,0.31670979,12.3,0.0388,0.0,554.0,31.768,0.3308,64.2737752,,5760.0,1.05,1.02,Transit,2016.0,Kepler,2060.72,Neptunian
Kepler-1563 b,Kepler-1563,0.75,0.06691052,0.347,0.00109,0.0,1134.0,390.57,0.0442,3.43276598,,5765.0,0.99,1.0,Transit,2016.0,Kepler,616.697,Terrestrial
Kepler-1564 b,Kepler-1564,1.47,0.13114462,2.76,0.00869,0.0,635.0,41.514,0.1327,18.0540381,,5528.0,0.9,0.93,Transit,2016.0,Kepler,908.805,Terrestrial
Kepler-1565 b,Kepler-1565,1.19,0.10616469,1.81,0.0057,0.0,1234.0,510.566,0.0241,1.538188437,,4940.0,0.73,0.76,Transit,2016.0,Kepler,629.93,Terrestrial
Kepler-1566 b,Kepler-1566,0.79,0.07047908,0.418,0.00131,0.0,1871.0,2340.984,0.01198,0.539915238,,5254.0,0.81,0.84,Transit,2016.0,Kepler,466.586,Terrestrial
Kepler-1567 b,Kepler-1567,2.73,0.24355429,7.9,0.0249,0.0,330.0,2.723,0.552,153.979578,,5655.0,0.93,0.95,Transit,2016.0,Kepler,1206.11,Neptunian
Kepler-1568 b,Kepler-1568,1.3,0.11597823,2.24,0.00705,0.0,729.0,72.568,0.15157,20.925392,,5956.0,1.19,1.09,Transit,2016.0,Kepler,916.313,Terrestrial
Kepler-1569 b,Kepler-1569,1.68,0.14987956,3.46,0.0109,0.0,1222.0,495.652,0.06669,5.79180156,,6319.0,1.4,1.25,Transit,2016.0,Kepler,945.454,Super-Earth
Kepler-157 b,Kepler-157,1.32,0.118,2.3,0.00724,0.0,1546.0,1572.309,0.028,1.732342,,5774.0,1.044,0.95,Transit,2014.0,Kepler,773.713,Terrestrial
Kepler-157 c,Kepler-157,2.24,0.2,5.65,0.0178,0.0,779.0,101.754,0.11,13.5405,,5774.0,1.044,0.95,Transit,2014.0,Kepler,773.713,Super-Earth
Kepler-157 d,Kepler-157,1.46,0.13025248,2.73,0.00859,0.0,969.0,244.058,0.0706,7.02573474,,5866.0,1.03,1.02,Transit,2016.0,Kepler,773.713,Terrestrial
Kepler-1570 b,Kepler-1570,1.07,0.09545901,1.24,0.0039,0.0,836.0,76.457,0.16699,26.548955,,5550.0,0.89,0.92,Transit,2016.0,Kepler,918.995,Terrestrial
Kepler-1571 b,Kepler-1571,1.52,0.13560532,2.92,0.0092,0.0,1476.0,757.132,0.04287,3.38555488,,6297.0,1.39,1.23,Transit,2016.0,Kepler,675.303,Super-Earth
Kepler-1572 b,Kepler-1572,0.94,0.08386118,0.779,0.00245,0.0,1293.0,583.523,0.05838,5.49548621,,5618.0,0.95,0.97,Transit,2016.0,Kepler,946.602,Terrestrial
Kepler-1573 b,Kepler-1573,1.2,0.10705683,1.87,0.00588,0.0,1379.0,1343.114,0.0364,2.6157554,,5808.0,1.0,1.01,Transit,2016.0,Kepler,1455.36,Terrestrial
Kepler-1574 b,Kepler-1574,1.29,0.11508609,2.21,0.00696,0.0,1003.0,289.778,0.0743,6.9424334,,5892.0,1.08,1.06,Transit,2016.0,Kepler,1384.16,Terrestrial
Kepler-1575 b,Kepler-1575,1.31,0.11687037,2.27,0.00714,0.0,1312.0,803.679,0.0366,2.55314213,,5667.0,0.92,0.95,Transit,2016.0,Kepler,1246.92,Terrestrial
Kepler-1576 b,Kepler-1576,1.04,0.09278259,1.12,0.00352,0.0,1059.0,156.608,0.07211,6.98471973,,5876.0,1.06,1.05,Transit,2016.0,Kepler,460.91,Terrestrial
Kepler-1577 b,Kepler-1577,1.13,0.10081185,1.51,0.00474,0.0,1125.0,57.751,0.0657,6.30560247,,4862.0,0.74,0.78,Transit,2016.0,Kepler,510.029,Terrestrial
Kepler-1578 b,Kepler-1578,1.04,0.09278259,1.12,0.00352,0.0,1700.0,1486.438,0.0252,1.450886907,,5545.0,0.86,0.9,Transit,2016.0,Kepler,1064.05,Terrestrial
Kepler-1579 b,Kepler-1579,0.84,0.07493978,0.52,0.00164,0.0,1139.0,396.64,0.014,0.849907889,,4584.0,0.7,0.75,Transit,2016.0,Kepler,466.0,Terrestrial
Kepler-158 b,Kepler-158,2.12,0.189,5.14,0.0162,0.0,500.0,13.634,0.111,16.709184,K,4623.0,0.624,0.655,Transit,2014.0,Kepler,315.177,Super-Earth
Kepler-158 c,Kepler-158,1.9,0.17,4.27,0.0134,0.0,418.0,6.677,0.158,28.551383,K,4623.0,0.624,0.655,Transit,2014.0,Kepler,315.177,Super-Earth
Kepler-1580 b,Kepler-1580,2.11,0.18824159,5.1,0.016,0.0,733.0,83.088,0.33571,56.6449279,,6228.0,2.15,1.47,Transit,2016.0,Kepler,1002.02,Super-Earth
Kepler-1581 b,Kepler-1581,0.8,0.07137122,0.437,0.00137,0.0,1108.0,470.862,0.06865,6.28385491,,6022.0,1.23,1.12,Transit,2016.0,Kepler,493.175,Terrestrial
Kepler-1582 b,Kepler-1582,1.49,0.1329289,2.83,0.00889,0.0,354.0,2.5,0.0316,4.83817712,,3208.0,0.3,0.28,Transit,2016.0,Kepler,78.8906,Terrestrial
Kepler-1583 b,Kepler-1583,0.6,0.05352841,0.156,0.00049,0.0,788.0,124.307,0.08307,9.32807355,,5645.0,0.91,0.94,Transit,2016.0,Kepler,403.933,Terrestrial
Kepler-1584 b,Kepler-1584,1.61,0.14363458,3.22,0.0101,0.0,886.0,162.544,0.1168,13.3997099,,6069.0,1.13,1.1,Transit,2016.0,Kepler,1416.31,Super-Earth
Kepler-1585 b,Kepler-1585,1.79,0.1596931,3.86,0.0121,0.0,1064.0,182.941,0.0445,3.5827463,,5538.0,0.91,0.94,Transit,2016.0,Kepler,944.465,Super-Earth
Kepler-1586 b,Kepler-1586,1.52,0.13560532,2.92,0.0092,0.0,1013.0,105.771,0.12208,15.6049212,,6681.0,1.75,1.45,Transit,2016.0,Kepler,552.55,Super-Earth
Kepler-1587 b,Kepler-1587,1.33,0.11865465,2.33,0.00733,0.0,981.0,254.701,0.08747,9.4060467,,5933.0,1.22,1.08,Transit,2016.0,Kepler,1026.48,Terrestrial
Kepler-1588 b,Kepler-1588,0.76,0.06780266,0.363,0.00114,0.0,925.0,359.79,0.07419,7.84931739,,5817.0,0.99,0.96,Transit,2016.0,Kepler,924.141,Terrestrial
Kepler-1589 b,Kepler-1589,1.09,0.09724329,1.32,0.00416,0.0,2102.0,5228.785,0.0205,0.991665274,,6166.0,1.25,1.18,Transit,2016.0,Kepler,1513.14,Terrestrial
